timestamp,source_ip,username,action,result,device
2026-09-17T08:00:11Z,10.10.10.21,alice,login,success,Windows
2026-09-17T08:01:04Z,10.10.10.22,bob,login,success,Windows
2026-09-17T08:15:01Z,185.220.101.10,alice,login,failed,Unknown
2026-09-17T08:15:03Z,185.220.101.10,bob,login,failed,Unknown
2026-09-17T08:15:05Z,185.220.101.10,charlie,login,failed,Unknown
2026-09-17T08:15:07Z,185.220.101.10,david,login,failed,Unknown
2026-09-17T08:15:09Z,185.220.101.10,emma,login,failed,Unknown
2026-09-17T08:16:10Z,185.220.101.10,alice,login,failed,Unknown
2026-09-17T08:16:12Z,185.220.101.10,bob,login,failed,Unknown
2026-09-17T08:16:14Z,185.220.101.10,charlie,login,failed,Unknown
2026-09-17T08:16:16Z,185.220.101.10,david,login,failed,Unknown
2026-09-17T08:16:18Z,185.220.101.10,emma,login,failed,Unknown
2026-09-17T08:20:02Z,10.10.10.50,alice,login,failed,Windows
2026-09-17T08:20:04Z,10.10.10.50,alice,login,failed,Windows
2026-09-17T08:20:06Z,10.10.10.50,alice,login,failed,Windows
2026-09-17T08:20:08Z,10.10.10.50,alice,login,failed,Windows
2026-09-17T08:20:10Z,10.10.10.50,alice,login,failed,Windows
2026-09-17T08:21:02Z,10.10.10.50,alice,login,success,Windows
2026-09-17T08:22:15Z,10.10.10.50,alice,access,vpn,Windows
2026-09-17T08:24:11Z,10.10.10.50,alice,access,admin_panel,Windows
2026-09-17T08:30:00Z,203.0.113.45,service_account,login,success,Unknown
2026-09-17T08:30:20Z,203.0.113.45,service_account,access,database_admin,Unknown
2026-09-17T08:31:02Z,203.0.113.45,service_account,access,configuration,Unknown
2026-09-17T08:32:10Z,203.0.113.45,service_account,logout,success,Unknown
